site_name	site_code	country_code	country	site_area_ha	area_of_study_ha	dead_wood_sampling_method	latidute_n_new	longitude_e_new	altitude_m	altitude_average_m	altitude_strm	annual_precipitation_diff_sources_mm	precipitation_of_warmest_quarter_bio18	precipitation_in_vegetation_period	annual_precipitation_bio12_mm	annual_evaporation_mm	water_balance_prec_evap	snow_cover_modis_myd10v5	mean_temperature_of_the_warmst_month	max_temp_of_warmest_month_bio5	mean_temperature_of_the_coldest_month	min_temp_of_coldest_month_bio6	temp_annual_range_bio7	mean_annual_temperature	mean_temperature_in_vegetation_period	mean_temperature_of_warmest_quarter_bio10	annual_mean_temp_bio1	soil_type_fao85_lev1_eu_soil_atlas	ellenberg_quotient_q	lang_quotient_based_on_world_clim	corine_2006	main_tree_species_only_tree_species_with_more_than_10_m3_living_volume	forest_type_bear	beech_proportion	deciduous_proportion_minus_beech	conifer_proportion	eunis_only_dominating_forest_type	forest_type_natura_2000_eu_habitat_directive	natural_disturbance_wind	natural_disturbance_snow	natural_disturbance_waterlogging	natural_disturbance_drought	natural_disturbance_insects	natural_disturbance_fungi	reserve_established_year	reserve_age	reserve_classification	virgin_forest	former_coppice	former_high_forest	former_wood_pasture	living_tree_volume_m3_ha_1_total	living_tree_volume_m3_ha_1_fagus	living_tree_volume_m3_ha_1_quercus	living_tree_volume_m3_ha_1_fraxinus	living_tree_volume_m3_ha_1_acer	living_tree_volume_m3_ha_1_other_decideuous	living_tree_volume_m3_ha_1_abies	living_tree_volume_m3_ha_1_picea	living_tree_volume_m3_ha_1_other_coniferous	living_tree_volume_m3_ha_1_minimum_dbh_recorded_cm	living_tree_volume_m3_ha_1_year_recorded	snag_standing_dead_trees_volume_m3_ha_1_total	snag_standing_dead_trees_volume_m3_ha_1_fagus	snag_standing_dead_trees_volume_m3_ha_1_quercus	snag_standing_dead_trees_volume_m3_ha_1_fraxinus	snag_standing_dead_trees_volume_m3_ha_1_acer	snag_standing_dead_trees_volume_m3_ha_1_other_decideuous	snag_standing_dead_trees_volume_m3_ha_1_abies	snag_standing_dead_trees_volume_m3_ha_1_picea	snag_standing_dead_trees_volume_m3_ha_1_other_coniferous	snag_standing_dead_trees_volume_m3_ha_1_minimum_dbh_recorded_cm	snag_standing_dead_trees_volume_m3_ha_1_year_recorded	fallen_log_volume_m3_ha_1_total	fallen_log_volume_m3_ha_1_fagus	fallen_log_volume_m3_ha_1_quercus	fallen_log_volume_m3_ha_1_fraxinus	fallen_log_volume_m3_ha_1_acer	fallen_log_volume_m3_ha_1_other_decideuous	fallen_log_volume_m3_ha_1_abies	fallen_log_volume_m3_ha_1_picea	fallen_log_volume_m3_ha_1_other_coniferous	fallen_log_volume_m3_ha_1_minimum_dbh_recorded_cm	fallen_log_volume_m3_ha_1_year_recorded	total_dead_volume_m3_ha_1_total	total_dead_volume_m3_ha_1_fagus	total_dead_volume_m3_ha_1_quercus	total_dead_volume_m3_ha_1_fraxinus	total_dead_volume_m3_ha_1_acer	total_dead_volume_m3_ha_1_other_decideuous	total_dead_volume_m3_ha_1_abies	total_dead_volume_m3_ha_1_picea	total_dead_volume_m3_ha_1_other_coniferous	dead_living_volume_percent	snag_log_ratio_percent	no_of_sampled_trees	decay_stages_of_cwd4	beech_boys_average_dbh	beech_boys_average_dc	beech_boys_average_moss_cover	beech_boys_average_bark_cover	beech_boys_average_soil_contact	beech_boys_number_of_logs	beech_boys_number_of_species	beech_boys_chao2_estimated_species_richness_based_on_n_20	beech_boys_number_of_fungi_per_log	vegetation_nerea	utmy	utmx	ut_mzone	connectivity_1_km	connectivity_10_km	connectivity_100_km	beech_boys_region
Milesice	CZ_Mile	CZ	Czech Republic	9.6	8.9	CS	48.98468882	13.83877833	1070-1125	1098	NA	867	NA	NA	1144	368	776	27.2	12.9	18.3	-5.3	-8.5	26.8	3.7	NA	NA	4.1	B	14.9	279	24	"Pi, Fa, Ab"	F5b	0.35	0.01	0.65	G1.61	9110	W	NA	Wa	NA	NA	NA	1948	66	1	NA	NA	NA	P	567	198	0	0	3	0	59	307	0	10	1996	47	4	0	0	0	0	23	21	0	10	1996	91	13	0	0	0	0	30	48	0	10	1996	139	16	0	0	0	0	53	69	0	0.24	0.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.79	2.01	1.35	NA
Milesice	NA	CZ	Czech Republic	9.63	NA	NA	48.98468882	13.83877833	1070-1125	NA	NA	NA	NA	NA	1144	368	776	27.2	NA	18.3	NA	-8.5	26.8	NA	NA	NA	4.1	B	NA	279	24	"Pi, Fa, Ab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	567	NA	NA	NA	NA	NA	NA	NA	NA	10 cm	NA	47	NA	NA	NA	NA	NA	NA	NA	NA	10 cm	1996	91	NA	NA	NA	NA	NA	NA	NA	NA	10 cm	NA	139	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.79	2.01	1.35	NA
Milesice	NA	CZ	Czech Republic	9.63	NA	NA	48.98468882	13.83877833	1070-1125	NA	NA	NA	NA	NA	1144	368	776	27.2	NA	18.3	NA	-8.5	26.8	NA	NA	NA	4.1	B	NA	279	24	"Pi, Fa, Ab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	476	NA	NA	NA	NA	NA	NA	NA	NA	10 cm	NA	27	NA	NA	NA	NA	NA	NA	NA	NA	10 cm	1972	58	NA	NA	NA	NA	NA	NA	NA	NA	10 cm	NA	85	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.79	2.01	1.35	NA
Mionsí	CZ_Mion	CZ	Czech Republic	171.1	5.9	CS	49.53601871	18.66004724	620-950	785	NA	1228	NA	NA	1000	359	641	27	16.2	20.5	-3.2	-8.4	28.9	6.6	NA	NA	5.6	B	13.2	179	23	"Fa, Ac, Ab"	F5a	0.8	0.14	0.06	G1.63	9130	NA	NA	NA	NA	NA	NA	1933	81	1	NA	NA	NA	P	590	471	0	2	81	0	35	2	0	10	1994	57	7	0	0	0	0	45	5	0	10	1994	98	25	0	0	0	0	72	1	0	10	1994	155	32	0	0	0	0	117	6	0	0.26	0.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mionsí	NA	CZ	Czech Republic	171.07	NA	NA	49.53601871	18.66004724	620-950	NA	NA	NA	NA	NA	1000	359	641	27	NA	20.5	NA	-8.4	28.9	NA	NA	NA	5.6	B	NA	179	23	"Fa, Ac, Ab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	590	NA	NA	NA	NA	NA	NA	NA	NA	10 cm	NA	57	NA	NA	NA	NA	NA	NA	NA	NA	10 cm	1994	98	NA	NA	NA	NA	NA	NA	NA	NA	10 cm	NA	155	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polom	CZ_Polom	CZ	Czech Republic	19.3	19.3	CS	49.79172662	15.75354483	545-625	585	NA	786	NA	NA	649	447	202	20.5	16	21.6	-3.6	-6.2	27.2	6	NA	NA	6.3	B	20.4	103	24	"Pi, Fa, Ac,  Al, Fr"	F5b	0.17	0.12	0.71	G1.63	9130	W	NA	Wa	NA	I	FALSE	1955	59	0	NA	NA	H	NA	593	103	0	14	31	24	4	417	0	10	1995	44	16	0	1	0	1	12	14	0	10	1995	94	55	0	1	2	0	17	19	0	10	1995	138	71	0	2	2	1	29	33	0	0.23	0.32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polom	NA	CZ	Czech Republic	19.34	NA	NA	49.79172662	15.75354483	545-625	NA	NA	NA	NA	NA	649	447	202	20.5	NA	21.6	NA	-6.2	27.2	NA	NA	NA	6.3	B	NA	103	24	"Pi, Fa, Ab, Ac"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	545	NA	NA	NA	NA	NA	NA	NA	NA	?	NA	51	NA	NA	NA	NA	NA	NA	NA	NA	?	1973	77	NA	NA	NA	NA	NA	NA	NA	NA	?	NA	128	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polom	NA	CZ	Czech Republic	19.34	NA	NA	49.79172662	15.75354483	545-625	NA	NA	NA	NA	NA	649	447	202	20.5	NA	21.6	NA	-6.2	27.2	NA	NA	NA	6.3	B	NA	103	24	"Pi, Fa, Ac, Fr"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	593	NA	NA	NA	NA	NA	NA	NA	NA	?	NA	44	NA	NA	NA	NA	NA	NA	NA	NA	?	1995	94	NA	NA	NA	NA	NA	NA	NA	NA	?	NA	138	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Razula	CZ_Razu	CZ	Czech Republic	23.5	22.8	CS	49.35909584	18.38190038	600-812	706	NA	1083	NA	NA	942	359	583	29.2	17.2	20.6	-3.6	-8	28.6	6.2	NA	NA	5.8	B	15.9	162	25	"Fa, Ab, Pi"	F5b	0.66	0	0.34	G1.63	9130	W	S	NA	NA	NA	NA	1933	81	1	NA	NA	H	P	592	389	0	0	0	0	139	64	0	20	1995	65	6	0	0	0	0	56	3	0	20	1995	144	42	0	0	0	0	91	11	0	20	1995	209	48	0	0	0	0	147	14	0	0.35	0.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Razula	NA	CZ	Czech Republic	23.52	NA	NA	49.35909584	18.38190038	600-812	NA	NA	NA	NA	NA	942	359	583	29.2	NA	20.6	NA	-8	28.6	NA	NA	NA	5.8	B	NA	162	25	"Fa, Ab, Pi"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	550	NA	NA	NA	NA	NA	NA	NA	NA	?	NA	152	NA	NA	NA	NA	NA	NA	NA	NA	?	1972	14	NA	NA	NA	NA	NA	NA	NA	NA	?	NA	167	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Razula	NA	CZ	Czech Republic	23.52	NA	NA	49.35909584	18.38190038	600-812	NA	NA	NA	NA	NA	942	359	583	29.2	NA	20.6	NA	-8	28.6	NA	NA	NA	5.8	B	NA	162	25	"Fa, Ab, Pi"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	592	NA	NA	NA	NA	NA	NA	NA	NA	?	NA	65	NA	NA	NA	NA	NA	NA	NA	NA	?	1995	144	NA	NA	NA	NA	NA	NA	NA	NA	?	NA	209	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salajka	CZ_Salaj	CZ	Czech Republic	21.9	19	CS	49.401542	18.417047	715-815	765	NA	1144	NA	NA	963	359	604	31.3	15.3	20.4	-4.7	-8.1	28.5	5.4	NA	NA	5.6	B	13.4	172	23	"Fa, Ab, Pi"	F5b	0.6	0.01	0.39	G1.63	9130	W	NA	NA	NA	NA	NA	1956	58	0	NA	NA	H	NA	473	284	0	0	4	0	140	44	0	10	1994	80	7	0	0	0	0	69	4	0	10	1994	144	23	0	0	0	0	116	5	0	10	1994	224	30	0	0	0	0	185	9	0	0.47	0.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salajka	NA	CZ	Czech Republic	21.86	NA	NA	49.401542	18.417047	715-815	NA	NA	NA	NA	NA	963	359	604	31.3	NA	20.4	NA	-8.1	28.5	NA	NA	NA	5.6	B	NA	172	23	"Fa, Ab, Pi"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	473	NA	NA	NA	NA	NA	NA	NA	NA	10 cm	NA	80	NA	NA	NA	NA	NA	NA	NA	NA	10 cm	1994	144	NA	NA	NA	NA	NA	NA	NA	NA	10 cm	NA	224	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stozec	CZ_Stoz	CZ	Czech Republic	52.8	16.2	CS	48.87394906	13.82261843	750-900	825	NA	793	NA	NA	1071	369	702	22.3	14	20.2	-4	-7.7	27.9	5	NA	NA	5.4	B	17.7	198	25	"Fa, Ac, Pi, Ul, Ab"	F5b	0.49	0.2	0.32	G1A41	9180	NA	NA	NA	NA	I	FALSE	1989	25	0	NA	NA	H	NA	663	322	0	0	26	106	29	180	0	10	1974	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	1974	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	1974	57	NA	NA	NA	NA	NA	NA	NA	NA	0.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
V Kluci	NA	CZ	Czech Republic	??	NA	NA	49.31331453	15.5229445	635-680	NA	NA	NA	NA	NA	726	360	366	19.8	NA	20.9	NA	-6.3	27.2	NA	NA	NA	6.4	B	NA	113	24	"Fa, Ul, Ac"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	681	NA	NA	NA	NA	NA	NA	NA	NA	10 cm	NA	46	NA	NA	NA	NA	NA	NA	NA	NA	10 cm	1973	52	NA	NA	NA	NA	NA	NA	NA	NA	10 cm	NA	98	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
V Kluci	NA	CZ	Czech Republic	??	NA	NA	49.31331453	15.5229445	635-680	NA	NA	NA	NA	NA	726	360	366	20.8	NA	20.9	NA	-6.3	27.2	NA	NA	NA	6.4	B	NA	113	24	"Fa, Ac, Fr"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	681	NA	NA	NA	NA	NA	NA	NA	NA	10 cm	NA	49	NA	NA	NA	NA	NA	NA	NA	NA	10 cm	2000	153	NA	NA	NA	NA	NA	NA	NA	NA	10 cm	NA	201	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
V Klucí	CZ_Kluci	CZ	Czech Republic	25.1	1	PP	49.31331453	15.5229445	635-680	658	NA	978	NA	NA	726	360	366	21.8	15.4	20.9	-4.5	-6.3	27.2	5.5	NA	NA	6.4	B	15.7	113	24	"Fa, Ac, Fr"	F5a	0.76	0.24	0	G1.63	9130	W	NA	NA	NA	NA	NA	1953	61	0	NA	NA	H	NA	681	515	0	35	107	23	0	0	0	10	2000	49	19	0	0	5	24	0	0	0	10	2000	153	35	0	0	13	96	9	0	0	10	2000	201	54	0	0	18	120	9	0	0	0.3	0.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Zakova hora	NA	CZ	Czech Republic	38.1	NA	NA	49.69682604	15.96033425	730-808	NA	NA	NA	NA	NA	704	354	350	25.7	NA	20.2	NA	-6.8	27	NA	NA	NA	6	B	NA	117	24	"Fa, Pi, Ac"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	536	NA	NA	NA	NA	NA	NA	NA	NA	?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	?	1974	NA	NA	NA	NA	NA	NA	NA	NA	NA	?	NA	181	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Zakova hora	NA	CZ	Czech Republic	38.1	NA	NA	49.69682604	15.96033425	730-808	NA	NA	NA	NA	NA	704	354	350	25.7	NA	20.2	NA	-6.8	27	NA	NA	NA	6	B	NA	117	24	"Fa, Pi, Ac"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	580	NA	NA	NA	NA	NA	NA	NA	NA	?	NA	30	NA	NA	NA	NA	NA	NA	NA	NA	?	1995	103	NA	NA	NA	NA	NA	NA	NA	NA	?	NA	133	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Zákova hora	CZ_Zako	CZ	Czech Republic	38.1	17.5	CS	NA	NA	730-808	769	NA	736	NA	NA	704	354	350	25.7	15.9	20.2	-4	-6.8	27	5	NA	NA	6	B	21.6	117	24	"Fa, Pi, Ac"	F5b	0.72	0.11	0.17	G1.61	9110	W	NA	NA	NA	NA	FALSE	1933	81	1	NA	NA	H	NA	580	418	0	0	62	3	0	96	0	10	1995	30	15	0	0	1	0	1	13	0	10	1995	103	66	0	0	1	0	7	29	0	10	1995	133	81	0	0	2	0	8	42	0	0.23	0.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Zofín	CZ_Zofin	CZ	Czech Republic	97.7	74.5	CS	48.66870991	14.70812081	735-825	780	792	915	NA	NA	928	360	568	27.7	13.6	21	-4.5	-7	28.2	4.3	NA	NA	6	B	14.9	155	23	"Pi, Fa, Ab"	F5b	0.45	0.01	0.55	G1.63	9130	W	NA	Wa	NA	NA	NA	1838	176	1	V	NA	NA	NA	666	296	0	0	4	2	61	302	0	10	1975	49	15	0	0	0	0	20	14	0	10	1975	78	23	0	0	0	0	24	32	0	10	1975	127	37	0	0	0	0	44	46	0	0.19	0.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02	1.79	1.47	NA
Knagerne	DK_Kna	DK	Denmark	5.6	5.6	LT	56.13505557	9.527007901	80-100	90	91	719	199	NA	750	352	398	13.7	15.5	19.3	0	-5.5	24.8	7.5	NA	15	7.2	P	21.6	104	23	Fa	F5a	1	0	0	G1.62	9120	W	NA	NA	NA	NA	FALSE	1990	24	0	NA	NA	H	NA	449	449	0	0	0	0	0	0	0	5	2003	32	32	0	0	0	0	0	0	0	5	2003	58	58	0	0	0	0	0	0	1	5	2001	90	89	0	0	0	0	0	0	1	0.2	0.35	25	01/Apr	NA	NA	NA	NA	NA	25	88	NA	19.1	Fagus	6220675	532944	32V	2.56	1.37	0.42	R3
Møns Klinteskov	DK_Mon	DK	Denmark	25	25	LT	54.96598497	12.5383312	80-110	95	83	586	174	NA	581	561	20	4	16.2	19.6	0.2	-3.1	22.7	7.9	NA	15.6	7.9	L	27.6	74	23	Fa	F5a	1	0	0	G1.66	9150	W	NA	NA	NA	NA	FALSE	1935	79	1	NA	NA	H	P	201	201	0	0	0	0	0	0	0	0	2001	25	25	0	0	0	0	0	0	0	5	2001	50	48	0	0	0	0	0	2	0	5	2001	74	72	0	0	0	0	0	2	0	0.37	0.34	50	01/Jun	NA	NA	NA	NA	NA	50	79	NA	7.6	Fagus	6093109	342497	33U	0.27	0.24	0.68	R2
Strødam Reserve	DK_Str	DK	Denmark	25	25	LT	55.95756558	12.27293591	20-25 m	225	17	697	186	NA	618	375	243	8.2	16.2	19.9	-0.5	-4.4	24.3	7.7	NA	16.1	8	P	23.2	77	23	"Fa, Qu, Fr"	F5a	0.88	0.14	0	G1.63	9130	W	NA	NA	NA	NA	FALSE	1949	65	1	NA	NA	H	P	490	431	49	10	0	10	0	0	0	0	1983	39	39	0	0	0	0	0	0	0	5	2001	104	100	0	1	0	3	0	0	0	5	2001	143	139	0	1	0	3	0	0	0	0.29	0.27	50	01/Jun	77	4	0.32	0.22	0.78	50	129	NA	18.7	Broadleaved	6206106	329628	33U	5.12	0.6	0.62	R3
Strødam Reserve	NA	DK	Denmark	NA	NA	NA	55.95756558	12.27293591	NA	NA	NA	NA	186	NA	618	375	243	8.2	16.2	19.9	-0.5	-4.4	24.3	7.7	NA	16.1	8	P	23.2	77	23	"Fa, Qu, Fr"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	01/May	78	3	0.31	0.23	0.77	47	NA	NA	NA	NA	NA	NA	NA	5.12	0.6	0.62	NA
Suserup Skov	DK_Sus	DK	Denmark	19	10.6	LT	55.37829712	11.560565	10-30 m	20	18	644	172	NA	592	383	209	6.2	16.7	19.4	0.8	-2.9	22.2	8.1	NA	15.9	8.3	B	25.9	71	23	"Fa, Qu, Fr, Ul"	F5a	0.62	0.38	0	G1.63	9130	W	NA	NA	NA	NA	FALSE	1927	87	1	NA	NA	H	NA	674	420	100	100	1	53	0	0	0	3	2002	9	9	0	0	0	0	0	0	0	5	2001	159	117	34	5	0	2	0	0	0	5	2001	168	126	34	5	0	2	0	0	0	0.23	0.05	50	01/Jun	76	4	0.06	0.23	0.78	50	98	NA	10.8	Broadleaved	6138926	661596	32U	5.91	2.25	0.66	R3
Suserup Skov	NA	DK	Denmark	NA	NA	NA	55.37829712	11.560565	NA	NA	NA	NA	172	NA	592	383	209	6.2	16.7	19.4	0.8	-2.9	22.2	8.1	NA	15.9	8.3	B	25.9	71	23	"Fa, Qu, Fr, Ul"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	01/May	75	3	0.06	0.24	0.77	47	NA	NA	NA	NA	NA	NA	NA	5.91	2.25	0.66	NA
Suserup Skov E	NA	DK	Denmark	5.5	NA	LT	NA	NA	10-30 m	NA	NA	644	NA	NA	592	383	209	6.2	16.7	19.4	0.8	-2.9	22.2	8.1	NA	NA	8.3	B	25.9	71	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.91	2.25	0.66	NA
Suserup Skov W	NA	DK	Denmark	10.6	NA	LT	NA	NA	10-30 m	NA	NA	644	NA	NA	592	383	209	6.2	16.7	19.4	0.8	-2.9	22.2	8.1	NA	NA	8.3	B	25.9	71	23	"Fa,Qu, Fr, Ul"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	674	NA	NA	NA	NA	NA	NA	NA	NA	3 cm	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	5 cm	2001	159	NA	NA	NA	NA	NA	NA	NA	NA	5 cm	NA	168	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.91	2.25	0.66	NA
Suserup Skov W	NA	DK	Denmark	10.6	NA	LT	NA	NA	10-30 m	NA	NA	644	NA	NA	592	383	209	6.2	16.7	19.4	0.8	-2.9	22.2	8.1	NA	NA	8.3	B	25.9	71	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.91	2.25	0.66	NA
Velling	DK_Vel	DK	Denmark	24	24	LT	56.04304085	9.490758817	50-100	75	63	839	197	NA	747	350	397	14.7	15.5	19.5	0	-5	24.5	7.5	NA	15.2	7.5	P	18.5	100	23	Fa	F5a	1	0	0	G1.62	9120	W	NA	NA	NA	NA	FALSE	1990	24	0	NA	NA	H	NA	489	489	0	0	0	0	0	0	0	0	2001	22	22	0	0	0	0	0	0	0	5	2001	70	68	0	0	0	0	0	2	0	5	2001	92	90	0	0	0	0	0	2	0	0.19	0.24	25	01/Jun	53	3	0.44	0.38	0.79	25	67	NA	11.7	Fagus	6210644	531152	32V	2.1	1.42	0.44	R3
Buckholt Wood	UK_Buck	UK	England	650	2	LT	51.81836591	-2.150829681	NA	210	NA	695	NA	NA	776	426	350	1.8	16.7	20	4.7	0	20	10.2	NA	NA	8.9	B	24	87	nn	"Fa, Fr"	F5a	NA	NA	NA	G1.63	9130	W	NA	NA	D	NA	NA	1976	38	0	NA	NA	H	P	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	2	0	0	0	1	0	0	0	3	2000	3	2	0	0	0	1	0	0	0	5	2000	6	4	0	0	0	2	0	0	0	NA	0.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.72	0.87	0.21	NA
Burnham Beeches	NA	UK	England	NA	NA	NA	51.55487822	-0.634457938	NA	73	NA	NA	160	NA	670	410	260	1.1	NA	22.5	NA	-0.1	22.6	NA	NA	16.6	9.9	L	NA	68	NA	Fa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	01/May	70.5	3	0.36	0.43	0.62	20	51	67	6.9	NA	NA	NA	NA	0.55	0.73	0.23	NA
